"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV"
50,47,217176,1,0,20161021,20170421,20200821,20211021,25333,3619,18470,0,24,1,2,40,21451,0,0,1,3,26,9,0,1,49
52,60,269375,0,0,20150116,20160415,20191207,20200116,40401,4489,25942,0,31,0,0,51,28885,1,0,0,3,65,9,0,1,66
42,60,329107,0,0,20151120,20160923,20211210,20201120,0,5485,23844,1,38,0,0,60,33602,0,0,0,0,44,9,0,1,60
47,38,177590,0,0,20150220,20160115,20180321,20200220,26631,2959,19111,0,29,0,0,29,18975,0,0,0,0,47,8,0,1,39
74,60,355817,5,0,20151120,20170120,20210517,20201120,5930,5930,28255,1,26,0,0,59,30815,0,0,2,3,61,9,0,1,61
50,60,313187,1,0,20160520,20170317,20210614,20210520,10438,5219,28625,1,38,0,0,58,28147,0,0,1,0,43,9,0,1,62
53,60,347190,1,0,20151120,20170217,20201202,20201120,0,5786,39314,1,57,0,0,60,28762,1,1,1,3,65,9,0,1,60
69,48,180674,6,0,20150220,20150220,20190111,20200220,6022,3011,16649,1,58,1,2,46,23515,0,1,2,0,0,9,0,1,50
18,39,132150,6,0,20150515,20150515,20180629,20200515,17616,2202,13166,0,26,1,2,31,19313,0,0,2,3,0,9,0,0,43
58,50,312725,0,0,20150116,20160318,20190128,20200116,36484,5212,28804,0,49,0,0,43,24566,1,0,0,3,61,9,1,1,54
68,20,93626,5,0,20150619,20160415,20170116,20200619,12480,2000,6696,0,49,0,0,12,10232,1,0,2,0,43,9,0,1,23
